单词,词性1,词性2,词性3,词性4,词性5,释义1,释义2,释义3,释义4,释义5,现在分词,过去式,过去分词,词组,备注
contain,v.,包含，容纳；控制，抑制,,,,,,,,,containing,contained,contained,,非大纲单词
continent,n.,大陆，洲,adj.,自制的，节制的,,,,,,,,,,,非大纲单词
continuity,n.,连续性，连贯性,,,,,,,,,,,,,非大纲单词
contrary,adj.,相反的，对立的,n.,相反，反面,,,,,,,,,,,非大纲单词
convince,v.,使确信，使信服；说服,,,,,,,,,convincing,convinced,convinced,,非大纲单词
convinced,adj.,确信的，深信的,,,,,,,,,,,,,非大纲单词
copious,adj.,丰富的，大量的，多产的,,,,,,,,,,,,,非大纲单词
courtship,n.,求爱，求婚；求偶,,,,,,,,,,,,,非大纲单词
creative,adj.,有创造力的，创造性的,,,,,,,,,,,,,非大纲单词
critical,adj.,批评的，批判的；关键的，危急的；挑剔的,,,,,,,,,,,,,非大纲单词
crucial,adj.,至关重要的，决定性的,,,,,,,,,,,,,非大纲单词
curb,v.,抑制，控制，约束,n.,路缘；抑制,,,,,,,curbing,curbed,curbed,,非大纲单词
decay,v.,腐烂，腐朽；衰退，衰败,n.,腐烂；衰退,,,,,,,decaying,decayed,decayed,,非大纲单词
decorate,v.,"装饰,装璜,布置",,,,,,,,,decorating,decorated,decorated,,
decoration,n.,装饰，装潢；装饰品；勋章,,,,,,,,,,,,,非大纲单词
decrease,n.,"减少,减小;减少量",v.,"减少,变少,降低",,,,,,,decreasing,decreased,decreased,,
dedicate,vt.,奉献;献身于,,,,,,,,,dedicating,dedicated,dedicated,,
deduce,vt.,"(from)演绎,推断,推论",,,,,,,,,deducing,deduced,deduced,,
deduct,vt.,扣除;演绎(推理),,,,,,,,,deducting,deducted,deducted,,
deed,n.,"行为,行动;功绩,事迹;证书；契据",,,,,,,,,,,,,
deem,v.,"认为,相信",,,,,,,,,deeming,deemed,deemed,,
deep,adj.,"深的,深长的;深奥的;强烈的",adv.,"深入的,迟",,,,,,,,,,,
deer,n.,鹿,,,,,,,,,,,,,
defeat,n.,"击败,战胜,失败",v.,"击败,战胜;使失败",,,,,,,defeating,defeated,defeated,,
defect,n.,过失;缺点;不足,,,,,,,,,,,,,
defence,n.,"(defense)防御,保卫;防务工事;辩护",,,,,,,,,,,,,
defend,v.,"防守,保卫;为…辩护,为…答辩",,,,,,,,,defending,defended,defended,,
deficiency,n.,"缺乏,不足;缺点,缺陷",,,,,,,,,,,,,
deficit,n.,"赤字,逆差;亏损,亏空;不足,缺乏",,,,,,,,,,,,,
define,v.,"给…下定义;阐述;阐释;限定,规定",,,,,,,,,defining,defined,defined,,
definite,adj.,"明确的;一定的;意志坚强的,立场坚定的",,,,,,,,,,,,,
definition,n.,"定义,解释;(轮廓影像等的)清晰度;阐明",,,,,,,,,,,,,
defy,v.,"(公然)违抗,反抗;蔑视",,,,,,,,,defying,defied,defied,,
degenerate,v.,"衰退,堕落,蜕化",adj.,堕落的,n.,堕落者,,,,,degenerating,degenerated,degenerated,,
degree,n.,程度;度数;学位;等级,,,,,,,,,,,,,
delay,v.&n.,"耽搁,延迟",,,,,,,,,delaying,delayed,delayed,,
delegate,n.,代表,vt.,委派…为代表;授权;委托,,,,,,,delegating,delegated,delegated,,
delete,vt.,删除,,,,,,,,,deleting,deleted,deleted,,
deliberate,adj.,"深思熟虑的,故意的",vt.,"研讨,商讨",,,,,,,deliberating,deliberated,deliberated,,
delicate,adj.,纤弱的;精致的;微妙的;灵敏的,,,,,,,,,,,,,
delicious,adj.,美味的;美妙的;使人愉快的,,,,,,,,,,,,,
delight,n.,"快乐,高兴",v.,"(使)高兴,(使)欣喜",,,,,,,delighting,delighted,delighted,,
deliver,v.,"交付,递送;发表,表达;释放;接生",,,,,,,,,delivering,delivered,delivered,,
delivery,n.,递送;交付;分娩;交货;引渡,,,,,,,,,,,,,
demand,n.&v.,"要求,请求,需要(量)",v.,查问,,,,,,,demanding,demanded,demanded,,
democracy,n.,"民主,民主制,民主国家",,,,,,,,,,,,,
democratic,adj.,民主的,,,,,,,,,,,,,
demonstrate,v.,"论证,证实;演示,说明",,,,,,,,,demonstrating,demonstrated,demonstrated,,
denial,n.,否认;拒绝;否认某事或某事实的声明,,,,,,,,,,,,,
denote,vt.,"表示,意味着",,,,,,,,,denoting,denoted,denoted,,
denounce,vt.,"公开指责,公然抨击;谴责",,,,,,,,,denouncing,denounced,denounced,,
dense,adj.,"浓厚的,密集的,稠密的",,,,,,,,,,,,,
density,n.,"密集,密度,浓度",,,,,,,,,,,,,
dental,adj.,牙齿的；牙科(用)的,,,,,,,,,,,,,
dentist,n.,牙医,,,,,,,,,,,,,
deny,v.,"否认,否定;拒绝",,,,,,,,,denying,denied,denied,,
depart,vi.,"离开,起程",adj.,"过去的,逝世的",,,,,,,departing,departed,departed,,
department,n.,"部,局,处,科,部门;系,学部",,,,,,,,,,,,,
departure,n.,"离开,起程",,,,,,,,,,,,,
depend,v.,"(on)取决于,依靠,信赖,相信",,,,,,,,,depending,depended,depended,,
dependency,n.,依赖，依靠；从属,,,,,,,,,,,,,非大纲单词
dependent,adj.,"依靠的,依赖的,从属的;随…而定的",,,,,,,,,,,,,
depict,v.,"描绘;描写,描述",,,,,,,,,depicting,depicted,depicted,,
deposit,v.,存放;使沉淀;付(保证金),n.,存款;沉积物,,,,,,,depositing,deposited,deposited,,
depress,v.,"压抑,降低;使沮丧,压下",,,,,,,,,depressing,depressed,depressed,,
deprive,vt.,"剥夺,夺去,使丧失",,,,,,,,,depriving,deprived,deprived,,
depth,n.,"深，深度,深奥,深刻",,,,,,,,,,,,,
deputy,n.,"代理人,代表",adj.,"副的,代理的",,,,,,,,,,,
derive,v.,取得;导出;引申;来自;源自;出自,,,,,,,,,deriving,derived,derived,,
descend,v.,"下来,下降;遗传(指财产,气质,权利)",,,,,,,,,descending,descended,descended,,
descendant,n.,"子孙,后代",,,,,,,,,,,,,
descent,n.,"下降,降下;斜坡;血统,家世",,,,,,,,,,,,,
describe,v.,"描述,形容",,,,,,,,,describing,described,described,,
description,n.,"描写,形容;种类",,,,,,,,,,,,,
desert,n.,"沙漠,不毛之地",v.,"抛弃,遗弃;擅离,开小差",,,,,,,deserting,deserted,deserted,,
deserve,v.,"应受,值得",,,,,,,,,deserving,deserved,deserved,,
design,v.,设计;构思;绘制;图案;企图,n.,"设计,图样",,,,,,,designing,designed,designed,,
designate,v.,"指明,指出;任命,指派",,,,,,,,,designating,designated,designated,,
desirable,adj.,"值得做的;合意的,称心的;期望得到的",,,,,,,,,,,,,
desire,v.&n.,"愿望,欲望,要求",,,,,,,,,desiring,desired,desired,,
desk,n.,书桌，办公桌，服务台,,,,,,,,,,,,,
desolate,adj.,荒凉的;孤独的,v.,使荒芜,,,,,,,desolating,desolated,desolated,,
despair,n.,绝望;失望;令人失望的人(事物),v.,绝望,,,,,,,despairing,despaired,despaired,,
despatch,n.&v.,(dispatch)派遣;发送,n.,急件;新闻报道,,,,,,,despatching,despatched,despatched,,
desperate,adj.,不顾一切的，铤而走险的；绝望的，危急的,,,,,,,,,,,,,
despise,v.,"轻视,蔑视",,,,,,,,,despising,despised,despised,,
despite,prep.,"不管,不顾",,,,,,,,,,,,,
dessert,n.,正餐后的水果或甜食,,,,,,,,,,,,,
destination,n.,"目的地,终点",,,,,,,,,,,,,
destiny,n.,"命运;天数,天命",,,,,,,,,,,,,
destroy,v.,"破坏,摧毁,消灭",,,,,,,,,destroying,destroyed,destroyed,,
destruction,n.,毁坏，毁灭(的原因),,,,,,,,,,,,,
destructive,adj.,破坏性,,,,,,,,,,,,,
detach,vt.,"分开, 分离, 分遣, 派遣(军队)",,,,,,,,,detaching,detached,detached,,
detail,n.,"细节,详情",v.,详述,,,,,,,detailing,detailed,detailed,,
detain,v.,"耽搁;扣押,拘留",,,,,,,,,detaining,detained,detained,,
detect,v.,"察觉,发觉,侦察,探测",,,,,,,,,detecting,detected,detected,,
detective,n.,侦探,,,,,,,,,,,,,
detector,n.,"发现者,侦察器,探测器,检波器,检电器",,,,,,,,,,,,,
deteriorate,v.,"(使)恶化,(使)变坏",,,,,,,,,deteriorating,deteriorated,deteriorated,,
determine,v.,"决心,决定;确定,限定",,,,,,,,,determining,determined,determined,,
develop,v.,"发展,开发,研制;显现,显影;发育,生长",,,,,,,,,developing,developed,developed,,
deviate,v.,"(from)背离,偏离",,,,,,,,,deviating,deviated,deviated,,
device,n.,"装置,设备,仪表;方法,设计",,,,,,,,,,,,,
devil,n.,魔鬼,,,,,,,,,,,,,
devise,vt.,设计;发明;图谋;作出(计划);想出(办法),,,,,,,,,devising,devised,devised,,
devote,v.,"(to)奉献,致力",,,,,,,,,devoting,devoted,devoted,,
dew,n.,露水,,,,,,,,,,,,,
diagnose,vt.,诊断(疾病)；判断(问题),,,,,,,,,diagnosing,diagnosed,diagnosed,,
diagram,n.,图表;图解,,,,,,,,,,,,,
dial,n.,"钟(表)面,刻度盘,拨号盘",v.,"拨号,打电话",,,,,,,dialling,dialled,dialled,,
dialect,n.,方言,,,,,,,,,,,,,
dialog,n.,"(dialogue)对话,对白",,,,,,,,,,,,,
diameter,n.,直径,,,,,,,,,,,,,
diamond,n.,"金钢石,钻石;菱形",,,,,,,,,,,,,
diary,n.,"日记, 日记簿",,,,,,,,,,,,,
dictate,v.,"口授;(使)听写;指令,指示,命令",,,,,,,,,dictating,dictated,dictated,,
dictation,n.,"听写,口述;命令",,,,,,,,,,,,,
dictionary,n.,"词典,字典",,,,,,,,,,,,,
die,vi.,死，死亡；(草木)枯萎，凋谢；渴望,,,,,,,,,dying,died,died,,
diet,n.,"饮食,食物",,,,,,,,,,,,,
differ,v.,(from)与…不同;(with)与…意见不同,,,,,,,,,differing,differed,differed,,
difference,n.,"差别,差异,分歧",,,,,,,,,,,,,
different,adj.,"差异的,差异的,不同的",,,,,,,,,,,,,
differentiate,v.,"区分,区别;(使)不同",,,,,,,,,differentiating,differentiated,differentiated,,
difficult,adj.,"困难的,艰难的",,,,,,,,,,,,,
difficulty,n.,"困难,困境,难题",,,,,,,,,,,,,
diffuse,v.,扩散;传播,adj.,"(文章等)冗长的,漫无边际的",,,,,,,diffusing,diffused,diffused,,
dig,v.,"挖,掘",,,,,,,,,digging,dug,dug,,
digest,vt.,消化；领会，融会贯通,n.,文摘，摘要,,,,,,,digesting,digested,digested,,
digital,adj.,数字的;数位的;手指的,n.,数字,,,,,,,,,,,
dignity,n.,"(举止,态度等的)庄严,端庄;尊贵,高贵",,,,,,,,,,,,,
dilemma,n.,"(进退两难的)窘境,困境",,,,,,,,,,,,,
diligent,adj.,"勤奋的,用功的",,,,,,,,,,,,,
dilute,vt.,稀释，冲淡,adj.,稀释的，冲淡的,,,,,,,diluting,diluted,diluted,,
dim,adj.,"暗淡的,模糊的",,,,,,,,,,,,,
dimension,n.,"尺寸,尺度;维(数),度(数)",,,,,,,,,,,,,
diminish,v.,"缩小,减少,递减",,,,,,,,,diminishing,diminished,diminished,,
dine,v.,"吃饭,进餐",,,,,,,,,dining,dined,dined,,
dinner,n.,"正餐,宴会",,,,,,,,,,,,,
dip,v.&n.,"浸,蘸",,,,,,,,,dipping,dipped,dipped,,
diploma,n.,"毕业文凭,学位证书",,,,,,,,,,,,,
diplomatic,adj.,"外交的,从事外交的;策略的,有手腕的",,,,,,,,,,,,,
direct,adj.&adv.,径直的(地),v.,"管理,指导;(at,to)指向",,,,,,,directing,directed,directed,,
direction,n.,"方向,方位;指令,说明",,,,,,,,,,,,,
directly,adv.,"直接地,径直地;马上,立即",,,,,,,,,,,,,
director,n.,"指导者,主任,导演",,,,,,,,,,,,,
directory,n.,"人名地址录,(电话)号码簿",,,,,,,,,,,,,
dirt,n.,"污物,污垢",,,,,,,,,,,,,
dirty,adj.,弄脏的;下流的,v.,"弄脏,玷污",,,,,,,dirtying,dirtied,dirtied,,
disable,vt.,使残废;使失去能力;丧失能力,,,,,,,,,disabling,disabled,disabled,,
disappear,v.,"不见,消失",,,,,,,,,disappearing,disappeared,disappeared,,
disappoint,vt.,失望；(希望等)破灭，挫败(计划等),,,,,,,,,disappointing,disappointed,disappointed,,
disaster,n.,"灾难,大祸;彻底的失败",,,,,,,,,,,,,
disastrous,adj.,灾难性的,,,,,,,,,,,,,
disc,n.,"(disk)圆盘,圆面,盘状物",,,,,,,,,,,,,
discard,vt.,丢弃，抛弃，遗弃,,,,,,,,,discarding,discarded,discarded,,
discern,v.,"认出,发现;辨别,识别",,,,,,,,,discerning,discerned,discerned,,
discharge,v.&n.,"卸货,排出;发射,放(电);遣散,解雇",,,,,,,,,discharging,discharged,discharged,,
discipline,n.,"纪律,学科",,,,,,,,,,,,,
disclose,v.,"揭示,泄露",,,,,,,,,disclosing,disclosed,disclosed,,
discount,n.,折扣；贴现(率),vt.,打折扣;不重视,,,,,,,discounting,discounted,discounted,,
discourage,v.,"使泄气,使失去信心",,,,,,,,,discouraging,discouraged,discouraged,,
discourse,n.,论文;演说;谈话;话语,vi.,"讲述,著述",,,,,,,discoursing,discoursed,discoursed,,
discover,v.,"发现,显示",,,,,,,,,discovering,discovered,discovered,,
discovery,n.,发现;被发现的事物,,,,,,,,,,,,,
discreet,adj.,(言行)谨慎的；慎重的；有判断力的,,,,,,,,,,,,,
discrepancy,n.,相差;差异;矛盾,,,,,,,,,,,,,
discriminate,v.,"区别,辨别;(against)有差别地对待,歧视",,,,,,,,,discriminating,discriminated,discriminated,,
discuss,vt.,"讨论,商议",,,,,,,,,discussing,discussed,discussed,,
disease,n.,疾病,,,,,,,,,,,,,
disgrace,n.,"失宠,耻辱",v.,"使失宠;玷辱,使蒙羞",,,,,,,disgracing,disgraced,disgraced,,
disguise,n.&v.,"假装,伪装",,,,,,,,,disguising,disguised,disguised,,
disgust,n.,"厌恶,恶心",v.,使厌恶,,,,,,,disgusting,disgusted,disgusted,,
dish,n.,"碟子,盘子,菜肴",,,,,,,,,,,,,
dislike,n.&v.,"不喜欢,厌恶",,,,,,,,,disliking,disliked,disliked,,
dismay,n.&v.,"(使)沮丧;(使)惊慌;(使)失望,(使)绝望",,,,,,,,,dismaying,dismayed,dismayed,,
dismiss,v.,"免职,解雇,开除,解散",,,,,,,,,dismissing,dismissed,dismissed,,
disorder,n.,"混乱,杂乱;骚乱;失调,疾病",,,,,,,,,,,,,
dispatch,v.,派遣，发送，调遣,n.,急件，快信；派遣,,,,,,,dispatching,dispatched,dispatched,,非大纲单词
disperse,v.,(使)分散;(使)散开;疏散,,,,,,,,,dispersing,dispersed,dispersed,,
displace,v.,"移置,转移;取代,置换",,,,,,,,,displacing,displaced,displaced,,
display,v.&n.,"陈列,展览,显示(器)",,,,,,,,,displaying,displayed,displayed,,
disposal,n.,"处理,处置;布置,安排",,,,,,,,,,,,,
dispose,v.,"(of)处理,处置;(for)布置,安排",,,,,,,,,disposing,disposed,disposed,,
disposition,n.,"排列,部署;性格倾向;倾向,意向",,,,,,,,,,,,,
dispute,n.,"争论,争执",v.,"争论,辩论;反驳;怀疑;阻止",,,,,,,disputing,disputed,disputed,,
disregard,vt.,不理会;忽视;漠视,n.,忽视;漠视,,,,,,,disregarding,disregarded,disregarded,,
disrupt,vt.,使混乱，使崩溃，使分裂，使瓦解,,,,,,,,,disrupting,disrupted,disrupted,,
dissipate,v.,驱散;(使云、雾、疑虑等)消散;挥霍,,,,,,,,,dissipating,dissipated,dissipated,,
dissolve,v.,"(使)溶解,(使)融化;解散,取消",,,,,,,,,dissolving,dissolved,dissolved,,
distance,n.,"距离,间隔,远方,路程",,,,,,,,,,,,,
distant,adj.,远的;遥远的;疏远的;不亲近的,,,,,,,,,,,,,
distill,vt.,蒸馏，用蒸馏法提取；吸取，提炼,,,,,,,,,distilling,distilled,distilled,,
distinct,adj.,"清楚的,明显的;(from)截然不同的",,,,,,,,,,,,,
distinction,n.,"区别,差别;级别;特性;声望;显赫",,,,,,,,,,,,,
distinguish,v.,"(from)区别,辨别;辨认出;使杰出",,,,,,,,,distinguishing,distinguished,distinguished,,
distort,v.,弄歪(嘴脸等);扭曲;歪曲(真理、事实等),,,,,,,,,distorting,distorted,distorted,,
distract,v.,分散;使分心;打扰;使心情烦乱,,,,,,,,,distracting,distracted,distracted,,
distress,n.,苦恼;危难;不幸,v.,使苦恼,,,,,,,distressing,distressed,distressed,,
distribute,v.,分发;分配;分布;配(电);(over)散布,,,,,,,,,distributing,distributed,distributed,,
district,n.,"地区,行政区;美国各州的众议院选区",,,,,,,,,,,,,
disturb,v.,"扰乱,妨碍,使不安",,,,,,,,,disturbing,disturbed,disturbed,,
disturbance,n.,"动乱,骚乱,干扰",,,,,,,,,,,,,
ditch,n.,"沟,沟渠,水沟",,,,,,,,,,,,,
dive,v.&n.,"潜水,跳水,俯冲",,,,,,,,,diving,dived,dived,,
diverse,adj.,"多种多样的,(from)不同的",,,,,,,,,,,,,
diversion,n.,"转向,转移;牵制;解闷;娱乐",,,,,,,,,,,,,
divert,vt.,使转向，使改道；转移(注意力)；使娱乐,,,,,,,,,diverting,diverted,diverted,,
divide,v.,"分,划分,分开;分配;(by)除",,,,,,,,,dividing,divided,divided,,
dividend,n.,红利，股息；回报，效益；被除数,,,,,,,,,,,,,
divine,adj.,神的，神授的，天赐的；极好的，极美的,,,,,,,,,,,,,
division,n.,"分,分割;部门,科,处;除法;分界线",,,,,,,,,,,,,
divorce,v.&n.,"离婚,分离",,,,,,,,,divorcing,divorced,divorced,,
dizzy,adj.,"头晕目眩的,眩晕的;(可能)使人头晕的",,,,,,,,,,,,,
do,aux.,v.,vt.,做，干，办，从事；引起,vi.,行动,,,,,doing,did,done,,
dock,n.,"船坞,码头",,,,,,,,,,,,,
doctor,n.,医生;博士,vt.,授以博士学位;诊断;修改,,,,,,,doctoring,doctored,doctored,,
doctorate,n.,博士学位;博士头衔,,,,,,,,,,,,,
document,n.,"公文,文献",,,,,,,,,,,,,
documentary,adj.,文献的,n.,记录片,,,,,,,,,,,
dog,n.,狗，雄兽,vt.,尾随，跟踪,,,,,,,dogging,dogged,dogged,,
doll,n.,"玩偶,玩具娃娃",,,,,,,,,,,,,
dollar,n.,"(美国,加拿大等国货币单位)美元,加元",,,,,,,,,,,,,
domain,n.,"(活动,思想等)领域,范围;领地",,,,,,,,,,,,,
dome,n.,圆屋顶,,,,,,,,,,,,,
domestic,adj.,家里的;本国的;驯养的,,,,,,,,,,,,,
dominant,adj.,"支配的,统治的, 占优势的",,,,,,,,,,,,,
dominate,v.,"支配,统治,控制;占优势",,,,,,,,,dominating,dominated,dominated,,
donate,vt.,损赠(金钱等);赠予,,,,,,,,,donating,donated,donated,,
donkey,n.,驴子；蠢人；顽固的人,,,,,,,,,,,,,
doom,n.,"厄运,劫数",v.,"注定,命定",,,,,,,dooming,doomed,doomed,,
door,n.,门；门口，出入口；门状物；家；通道,,,,,,,,,,,,,
doorway,n.,门口,,,,,,,,,,,,,
dorm,n.,(dormitory)［美］［口］宿舍,,,,,,,,,,,,,
dose,n.,"剂量,一服,一剂",v.,(给…)服药,,,,,,,dosing,dosed,dosed,,
dot,n.,"点,圆点",v.,在…上打点,,,,,,,dotting,dotted,dotted,,
doubt,n.&v.,"怀疑,疑虑",,,,,,,,,doubting,doubted,doubted,,
dove,n.,鸽子,,,,,,,,,,,,,
down,adv.,下；由大到小,prep.,沿着…而下,adj.,向下的,,,,,,,,,
downstairs,adv.,"在楼下,往楼下",,,,,,,,,,,,,
downtown,adv.,在城市的商业区,n.&adj.,城市商业区(的),,,,,,,,,,,
downward,adj.,向下的,adv.,"(also downwards)向下,往下",,,,,,,,,,,
doze,v.&n.,瞌睡;假寐,,,,,,,,,dozing,dozed,dozed,,
dozen,n.,"一打,十二个",,,,,,,,,,,,,
draft,n.,"草稿,草案,草图",v.,"起草,草拟",,,,,,,drafting,drafted,drafted,,
drag,v.,"拖,拖曳",,,,,,,,,dragging,dragged,dragged,,
dragon,n.,龙,,,,,,,,,,,,,
drain,n.,"排水沟,阴沟;消耗,负担",v.,"排去,放干",,,,,,,draining,drained,drained,,
drama,n.,"剧本,戏剧;戏剧性事件或场面",,,,,,,,,,,,,
dramatic,adj.,"戏剧的,戏剧性的;剧烈的",,,,,,,,,,,,,
drastic,adj.,"激烈的,严厉的;(药性等)猛烈的",,,,,,,,,,,,,
draw,v.,拉;画;汲取;引出;(to)挨近,n.,平局;拖曳,,,,,,,drawing,drew,drawn,,
drawback,n.,"欠缺,缺点;退还的关税",,,,,,,,,,,,,
drawer,n.,抽屉,,,,,,,,,,,,,
drawing,n.,"绘图,图样",,,,,,,,,,,,,
dread,v.&n.,"恐惧,担心",,,,,,,,,dreading,dreaded,dreaded,,
dream,n.&v.,"梦,梦想,幻想",,,,,,,,,dreaming,dreamt/dreamed,dreamt/dreamed,,
dress,n.,"服装,童装,女装",v.,"穿衣,打扮",,,,,,,dressing,dressed,dressed,,
drift,v.&n.,"漂,漂流(物)",,,,,,,,,drifting,drifted,drifted,,
drill,v.,练习;操练;钻孔,n.,操练;练习;钻孔(机),,,,,,,drilling,drilled,drilled,,
drink,v.,"(drank,drunk)喝，饮",n.,饮料；喝酒,,,,,,,drinking,drank,drunk,,
drip,v.,"滴下,漏水",n.,"滴,水滴,点滴",,,,,,,dripping,dripped,dripped,,
drive,v.,"开(车);驱;驱动,把(钉,桩)打入",n.,驾驶,,,,,,,driving,drove,driven,,
driver,n.,驾驶员,,,,,,,,,,,,,
drop,n.,滴;落下;微量,v.,落下;下降;失落,,,,,,,dropping,dropped,dropped,,
drought,n.,"旱灾,干旱",,,,,,,,,,,,,
drown,v.,"溺死,淹没",,,,,,,,,drowning,drowned,drowned,,
drug,n.,药物;麻醉品;毒品;滞销货,v.,下麻药;吸毒,,,,,,,drugging,drugged,drugged,,
drum,n.,鼓;圆桶,,,,,,,,,,,,,
drunk,adj.,醉酒的；(喻)陶醉的,n.,酗酒者，醉汉,,,,,,,,,,,
dry,adj.,干(旱)的；干渴的；枯燥,vt.,使干燥，晒干,,,,,,,drying,dried,dried,,
dubious,adj.,怀疑的，无把握的；有问题的，靠不住的,,,,,,,,,,,,,
duck,n.,"鸭,鸭肉",v.,迅速俯身;快速低头;躲避,,,,,,,ducking,ducked,ducked,,
due,adj.,"(to)应支付的;(车,船等)预定应到达的",,,,,,,,,,,,,
dull,adj.,"单调的;迟钝的,愚笨的;不锋利的",,,,,,,,,,,,,
dumb,adj.,"哑的,无言的",,,,,,,,,,,,,
dump,v.,"倾倒,倾卸",n.,垃圾场,,,,,,,dumping,dumped,dumped,,
duplicate,n.,复制品,v.,"复写,使加倍",adj.,"复制的,二重的",,,,,duplicating,duplicated,duplicated,,
durable,adj.,"持久的,耐久的",,,,,,,,,,,,,
duration,n.,持久;期间;持续时间,,,,,,,,,,,,,
during,prep.,在…期间,,,,,,,,,,,,,
dusk,n.,"薄暮,黄昏",,,,,,,,,,,,,
dust,n.,"灰尘,尘土",v.,"拂,掸",,,,,,,dusting,dusted,dusted,,
duty,n.,"义务,责任;职务;税",,,,,,,,,,,,,
dwarf,n.,矮子，侏儒，矮小的动植物,vt.,使…矮小,,,,,,,dwarfing,dwarfed,dwarfed,,
dwell,v.,"住,居留",,,,,,,,,dwelling,dwelt/dwelled,dwelt/dwelled,,
dwelling,n.,"住宅,寓所",,,,,,,,,,,,,
dye,n.,染料,v.,"染,染色",,,,,,,dyeing,dyed,dyed,,
dynamic,adj.,"动力的,电动的;有生气的",,,,,,,,,,,,,
dynasty,n.,"王朝,朝代",,,,,,,,,,,,,
e-mail,n.,(electronic mail)电子信函，电子邮件,,,,,,,,,,,,,
each,adj.&pron.,"各,各自的,每",,,,,,,,,,,,,
eager,adj.,"(for)渴望的,热切的",,,,,,,,,,,,,
eagle,n.,鹰,,,,,,,,,,,,,
ear,n.,耳，耳朵；听力，听觉；穗,,,,,,,,,,,,,
early,adj.,"早的,早期的,及早的",adv.,"早,在初期",,,,,,,,,,,
earn,v.,"赚得,挣得,获得",,,,,,,,,earning,earned,earned,,
earnest,adj.,"热心的,诚挚的",n.,热心;真挚;定金;认真,,,,,,,,,,,
earth,n.,地球；陆地；泥土，土壤；尘世，人间,,,,,,,,,,,,,
earthquake,n.,地震,,,,,,,,,,,,,
ease,v.,"减轻;使舒适,使安心",n.,"容易;舒适,悠闲",,,,,,,easing,eased,eased,,
east,n.,"东,东方,东部",adj.,"东方的,东部的",,,,,,,,,,,
Easter,n.,复活节,,,,,,,,,,,,,
eastern,adj.,"东方的,东部的",,,,,,,,,,,,,
easy,adj.,容易的，不费力的，安逸的，宽裕的,,,,,,,,,,,,,
eat,vt.,吃，喝,vi.,吃饭，吃东西,,,,,,,eating,ate,eaten,,
ebb,vi.,衰退，减退,n.,处于低潮，处于衰退状态,,,,,,,ebbing,ebbed,ebbed,,
eccentric,adj.,古怪的，怪癖的，异乎寻常的,n.,古怪的人,,,,,,,,,,,
echo,v.&n.,"回声,反响,共鸣",,,,,,,,,echoing,echoed,echoed,,
eclipse,n.,"日食,月食",,,,,,,,,,,,,
ecology,n.,生态学,,,,,,,,,,,,,
economic,adj.,"经济(上)的,经济学的",,,,,,,,,,,,,
economical,adj.,"节约的,经济的",,,,,,,,,,,,,
economics,n.,"经济学,经济情况",,,,,,,,,,,,,
economy,n.,节约;经济,,,,,,,,,,,,,
edge,n.,"边,棱;刀口,刃",v.,"侧身移动,挤进",,,,,,,edging,edged,edged,,
edible,adj.,可食用的,,,,,,,,,,,,,
edit,v.,"编辑,校订",,,,,,,,,editing,edited,edited,,
edition,n.,"版,版本,版次",,,,,,,,,,,,,
editor,n.,"编辑,编者",,,,,,,,,,,,,
editorial,n.,社论,adj.,社论的；编辑上的,,,,,,,,,,,
educate,v.,"教育,培养,训练",,,,,,,,,educating,educated,educated,,
education,n.,"教育,培养,训练",,,,,,,,,,,,,
effect,n.,结果;效果;影响;印象,vt.,招致;实现;达到,,,,,,,effecting,effected,effected,,
effective,adj.,"有效的,生效的;被实施的;给人深刻印象",,,,,,,,,,,,,
efficiency,n.,效率;功效,,,,,,,,,,,,,
efficient,adj.,"有效的,效率高的;有能力的,能胜任的",,,,,,,,,,,,,
effort,n.,努力;成就;艰难的尝试,,,,,,,,,,,,,
egg,n.,蛋; 卵; 卵形物,,,,,,,,,,,,,
ego,n.,自我，自负，利已主义；(心理学)自我意识,,,,,,,,,,,,,
eight,num.,八,pron.,八(个，只),,,,,,,,,,,
eighteen,num.,十八，十八个,,,,,,,,,,,,,
eighty,num.&adj.,八十,pron.,八十(个，只),,,,,,,,,,,
either,adv.,也(不),pron.,两者之一,adj.,(两者中)任一的,,,,,,,,,
eject,v.,"喷射,排出;驱逐",,,,,,,,,ejecting,ejected,ejected,,
elaborate,v.&adj.,精心制作(的);详细阐述(的),,,,,,,,,elaborating,elaborated,elaborated,,
elapse,vi.,(时间)溜走；(光阴)逝去,,,,,,,,,elapsing,elapsed,elapsed,,
elastic,adj.,弹性的,n.,"松紧带,橡皮圈",,,,,,,,,,,
elbow,n.,肘，(衣服的)肘部,vt.,用肘推，用肘挤,,,,,,,elbowing,elbowed,elbowed,,
elder,adj.,"年长的,资格老的",n.,长辈,,,,,,,,,,,
elderly,adj.,较老的，年长的,n.,[the～]到了晚年的人,,,,,,,,,,,
elect,v.,"选举,推选;选择,作出选择",,,,,,,,,electing,elected,elected,,
electric,adj.,"电的,导电的,电动的",,,,,,,,,,,,,
electrical,adj.,"电的,电学的",,,,,,,,,,,,,
electrician,n.,"电学家,电工",,,,,,,,,,,,,
electricity,n.,"电,电流;电学",,,,,,,,,,,,,
electron,n.,电子,,,,,,,,,,,,,
electronic,adj.,电子的,,,,,,,,,,,,,
elegant,adj.,优雅的;端庄的;雅致的,,,,,,,,,,,,,
element,n.,元素;要素;成分;元件; 自然环境,,,,,,,,,,,,,
